source,target
"in kind","XXX"
"in kind","NCEP GFS"
"in kind","CDIP"
"in kind","USGS"
"in kind","AVHRR"
"in kind","SFEI"
"in kind","CCLEAN"
"in kind","MODIS"
"in kind","C-HARM"
"in kind","MBARI"
"in kind","SWFSC"
"XXX","Bathymetry"
"XXX","Bottom character"
"HFR","Currents"
"Gliders","Currents"
"CA ROMS","Currents"
"West Coast ROMS","Currents"
"WCOFS nests","Currents"
"SFB SCHISM-CoSiNE","Currents"
"COAMPS","Heat flux"
"West Coast ROMS","Heat flux"
"not applicable","Ice distribution"
"Gliders","Salinity"
"Coastal Obs. Net. - Ocean weather & climate","Salinity"
"West Coast ROMS","Salinity"
"WCOFS nests","Salinity"
"SFB SCHISM-CoSiNE","Salinity"
"COAMPS","Salinity"
"West Coast ROMS","Salinity"
"ACCESS","Salinity"
"Animal Tagging","Salinity"
"NCEP GFS","Sea level"
"COAMPS","Sea level"
"CDIP","Surface waves"
"WAVEWATCH III","Surface waves"
"USGS","Stream flow"
"AVHRR","Temperature"
"Gliders","Temperature"
"Coastal Obs. Net. - Ocean weather & climate","Temperature"
"West Coast ROMS","Temperature"
"WCOFS nests","Temperature"
"SFB SCHISM-CoSiNE","Temperature"
"COAMPS","Temperature"
"West Coast ROMS-NEMURO","Temperature"
"ACCESS","Temperature"
"Animal Tagging","Temperature"
"COAMPS","Wind speed and direction"
"Coastal Obs. Net. - Ocean weather & climate","Wind speed and direction"
"Gliders","Acidity"
"Coastal Obs. Net. - OAH Obs. Net.","Acidity"
"West Coast ROMS-NEMURO","Acidity"
"SFB SCHISM-CoSiNE","Acidity"
"Coastal Obs. Net. - Ocean weather & climate","Colored dissolved organic matter"
"CCLEAN","Contaminants"
"SFEI","Contaminants"
"Coastal Obs. Net. - Ocean weather & climate","Dissolved nutrients"
"Coastal Obs. Net. - HABMAP","Dissolved nutrients"
"Gliders","Dissolved nutrients"
"West Coast ROMS-NEMURO","Dissolved nutrients"
"SFB SCHISM-CoSiNE","Dissolved nutrients"
"Gliders","Dissolved Oxygen"
"Coastal Obs. Net. - OAH Obs. Net.","Dissolved Oxygen"
"ACCESS","Dissolved Oxygen"
"West Coast ROMS-NEMURO","Dissolved Oxygen"
"SFB SCHISM-CoSiNE","Dissolved Oxygen"
"Statewide Kelp","Ocean color"
"MODIS","Ocean color"
"MODIS","Optical properties"
"Gliders","Optical properties"
"Coastal Obs. Net. - HABMAP","Pathogens"
"C-HARM","Pathogens"
"CCLEAN","Pathogens"
"Coastal Obs. Net. - Ocean weather & climate","Partial pressure of CO2"
"Coastal Obs. Net. - OAH Obs. Net.","Partial pressure of CO2"
"Gliders","Total suspended matter"
"MODIS","Total suspended matter"
"West Coast ROMS-NEMURO","Biological vital rates"
"SFB SCHISM-CoSiNE","Biological vital rates"
"MODIS","Biological vital rates"
"Animal Tagging","Biological vital rates"
"MBARI","Coral species and abundance"
"eDNA","Fish species/ abundance"
"UAS","Fish species/ abundance"
"SWFSC","Fish species/ abundance"
"eDNA","Invertebrate species and abundance"
"UAS","Invertebrate species and abundance"
"SWFSC","Invertebrate species and abundance"
"Animal Tagging","Marine mammal species/abundance"
"ACCESS","Marine mammal species/abundance"
"OSON","Marine mammal species/abundance"
"UAS","Marine mammal species/abundance"
"eDNA","Microbial species/ abundance/activity"
"UAS","Nekton diet"
"eDNA","Nekton diet"
"Gliders","Nekton diet"
"West Coast ROMS-NEMURO","Nekton diet"
"SFB SCHISM-CoSiNE","Nekton diet"
"Coastal Obs. Net. - HABMAP","Phytoplankton species/abundance"
"West Coast ROMS-NEMURO","Phytoplankton species/abundance"
"SFB SCHISM-CoSiNE","Phytoplankton species/abundance"
"MODIS","Phytoplankton species/abundance"
"C-HARM","Phytoplankton species/abundance"
"ACCESS","Sea birds species/abundance"
"ACCESS","Sea turtles species/abundance"
"Statewide Kelp","Submerged aquatic vegetation species/abundance"
"OSON","Sound"
"UAS","Zooplankton species/abundance"
"eDNA","Zooplankton species/abundance"
"Gliders","Zooplankton species/abundance"
"West Coast ROMS-NEMURO","Zooplankton species/abundance"
"SFB SCHISM-CoSiNE","Zooplankton species/abundance"
"ACCESS","Zooplankton species/abundance"
"OSON","Temperature"
